,log_return
192,0.09464871100818308
193,0.11626226068651653
194,0.11888091986903876
195,0.13163809540995397
196,0.12651021662558778
197,0.12255253258417013
198,0.1231520909410455
199,0.13340501630624974
200,0.13619890706998536
201,0.1336273101982923
202,0.13104245689679375
203,0.1314859250575416
204,0.13177729935603535
205,0.13166674688001
206,0.14125791347485958
207,0.13340368144572776
208,0.13622143494774308
209,0.11714760439472977
210,0.11654521621253645
211,0.11662089676013851
212,0.11911677125089086
213,0.11634261711816994
214,0.1135506714833422
215,0.11209186892509504
216,0.10476877287573738
217,0.10467573457166728
218,0.1281474844605744
219,0.1251968002871633
220,0.10964896988045979
221,0.09563104577638079
222,0.09247953548282686
223,0.09276558263111266
224,0.10034803501083372
225,0.10121695011445372
226,0.10083937140589073
227,0.100091787005675
228,0.11164324095780757
229,0.1113680923360372
230,0.1239111092109089
231,0.1249915292608323
232,0.10837915745469057
233,0.1089273541272462
234,0.10719480526718414
235,0.109206334225008
236,0.10994732834634871
237,0.11426851091191817
238,0.1091728423908547
239,0.11153076745604613
240,0.08772248625551476
241,0.08824284149290354
242,0.07927089539514279
243,0.0897369705020936
244,0.08007935906726919
245,0.08215598060460262
246,0.08248218262495333
247,0.08814999904583055
248,0.08883663129852667
249,0.08861982539958108
250,0.08649318498886156
251,0.07450385201255486
252,0.07503140283306847
253,0.07451245620093064
254,0.07469634337448076
255,0.08216784623182345
256,0.09117340208548463
257,0.08727588629812434
258,0.0931621696743796
259,0.08951505963510838
260,0.101938704580479
261,0.0973628167921213
262,0.09853133926877537
263,0.09844465738425313
264,0.10080586721058683
265,0.10315238458446867
266,0.10189005689762544
267,0.1214891687184869
268,0.13549992667069405
269,0.1297188308824669
270,0.13603841693264793
271,0.13520238523714542
272,0.1378353603301758
273,0.13839529815043553
274,0.14488726744948044
275,0.14540098650621983
276,0.15456450291053273
277,0.15498529622419766
278,0.15654840851081697
279,0.1546501329934731
280,0.1546430270725298
281,0.13864011918731525
282,0.11486651132662533
283,0.11466520539607622
284,0.11296926428521142
285,0.11192945148191408
286,0.09326082687258798
287,0.09940501597178518
288,0.09290295614068561
289,0.09495392255248435
290,0.0879112226843744
291,0.0849333566121784
292,0.08348675059904294
293,0.08138938522407062
294,0.08111403915289654
295,0.08491682795187509
296,0.08514163622980282
297,0.08616844808799487
298,0.08210426684033142
299,0.08365126986471502
300,0.10678771313967139
301,0.09681696905714084
302,0.09579963352994016
303,0.0927989750362374
304,0.0959547056239342
305,0.09756523341210985
306,0.09467955298323708
307,0.115631369624086
308,0.11602689191900992
309,0.11104738893939987
310,0.11350588469515932
311,0.12170126551635443
312,0.12371439069964581
313,0.12077108221879704
314,0.1040048543531864
315,0.10713371642566202
316,0.11446176002983453
317,0.11324440216890382
318,0.11263459981533364
319,0.11848101963797843
320,0.11855980620711536
321,0.09605052955285506
322,0.09915290112416508
323,0.09906480162218388
324,0.1178742041781941
325,0.12701863964967072
326,0.12284172340004251
327,0.12297218861487753
328,0.12238626579253671
329,0.11706969207460732
330,0.11390482269693794
331,0.12745765119595437
332,0.12719965509237616
333,0.11475919412523528
334,0.11548999180207621
335,0.11721429863982306
336,0.10197020748416612
337,0.09978542967583216
338,0.09322673641431632
339,0.09716192416621511
340,0.09747808494022601
341,0.09778579286222575
342,0.11527496322660058
343,0.11554908665078151
344,0.10978074955378049
345,0.09033560008328782
346,0.08953299316111836
347,0.09114941484846502
348,0.09331444420983821
349,0.11065255631482959
350,0.1058289848148158
351,0.0992402306811253
352,0.09932648048726968
353,0.1064379723065266
354,0.10582265009409145
355,0.10817190341254826
356,0.094875786421991
357,0.09871066271883755
358,0.09903032111895288
359,0.09839674564318976
360,0.09950704266068872
361,0.10457673792466177
362,0.10215098331487044
363,0.08929060987740782
364,0.08954798502825091
365,0.08957699138821984
366,0.09225422293799214
367,0.0775304513771
368,0.07704471194642329
369,0.07553088551723175
370,0.07573355214856381
371,0.07752679814079813
372,0.0903814224403053
373,0.0900590332840649
374,0.092223534867696
375,0.08726056943921258
376,0.08877972359174026
377,0.08103399264831737
378,0.08170499877869203
379,0.08689697158993805
380,0.09229838450371713
381,0.09716233526744933
382,0.10342684830458926
383,0.10615319009562761
384,0.10747175621827612
385,0.10463218246877075
386,0.09826001934840371
387,0.1007136337402126
388,0.09912423668750286
389,0.0994317561091526
390,0.10571626484295037
391,0.10678635293558218
392,0.10631807484154286
393,0.09936001506193348
394,0.10646975292609234
395,0.09931241863161504
396,0.08850508653494535
397,0.09010753073081305
398,0.08419964579934874
399,0.0831133789860467
400,0.08314527145479422
401,0.08247985446429221
402,0.08257889090040194
403,0.09110311589144483
404,0.08591238049117109
405,0.10479142749681326
406,0.10683501288404576
407,0.11120238458770039
408,0.10829770605050879
409,0.11211939888075112
410,0.1145606070123389
411,0.10694038629313118
412,0.10600421334893148
413,0.1095406937590706
414,0.10974118425918773
415,0.11200116341727413
416,0.12102070178484113
417,0.11587746923831996
418,0.12086378005734456
419,0.10287542668965718
420,0.1073960587635245
421,0.107312419268611
422,0.09812281443534514
423,0.09524445430950744
424,0.09182394617505613
425,0.09855889698530695
426,0.09876644081289579
427,0.0831394278862732
428,0.08292105570114557
429,0.08492280561291614
430,0.10497151233075634
431,0.10392998691660753
432,0.10282384535871794
433,0.09956120895799943
434,0.0992588978348015
435,0.09445399285324071
436,0.0977787779277099
437,0.10415451440221539
438,0.10216502817941434
439,0.09351311439572248
440,0.10818210082901253
441,0.11643452580571087
442,0.13419465359244215
443,0.13301565719925848
444,0.11958599292452049
445,0.12908153225874092
446,0.15806895136771903
447,0.15910319922076888
448,0.1630388451596792
449,0.16531690512190256
450,0.16366019047342703
451,0.1664282788410848
452,0.17691515275837116
453,0.17622899021298982
454,0.16986120688200843
455,0.17275902028362128
456,0.15401063023214925
457,0.15440859201788304
458,0.15467064436633526
459,0.15016064820703307
460,0.1273469767598354
461,0.13180176892968007
462,0.1277717305605581
463,0.12891572925862088
464,0.13091346365984477
465,0.12248955531642913
466,0.11555469396344258
467,0.11589309439493813
468,0.11564172024668211
469,0.10549409818121215
470,0.10611575881567395
471,0.10790602096423745
472,0.10566878795258566
473,0.0969139609214323
474,0.10145482451214245
475,0.0856117517895212
476,0.08986762572711664
477,0.08316572236170003
478,0.08029683552398843
479,0.07122620552473993
480,0.0719137517968276
481,0.07247447617781042
482,0.0713729455154956
483,0.07193786573145172
484,0.0698127502676449
485,0.06659968723509223
486,0.06889919788340522
487,0.061424330196504034
488,0.05248241817256188
489,0.0522876467374082
490,0.06464550987855915
491,0.07261505039528846
492,0.07262915131111543
493,0.08236468705217045
494,0.07961814790987298
